"fisc_wk_id","fisc_wk_strt_dt","mkt_lvl","rgn_shrt_nm","co_nbr","co_shrt_nm","bus_ctr_nm","itm_grp_nm","attr_grp_nm","prc_src_typ_cd","cust_nbr","cuisine_lvl_1_desc","ttl_cases","ttl_sales","ttl_lines","ttl_grs_prft"
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"001628",Asian,2.000,67.76,1,13.560
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"003129",Latin,2.000,75.90,1,15.704
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"010470",Latin,3.000,113.67,1,23.377
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"011759",Asian,2.000,77.58,1,17.384
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"011846","",5.000,194.90,1,44.412
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"011852","",8.000,311.84,1,73.459
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"012403",Latin,1.000,35.83,1,8.730
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"012554",Latin,2.000,75.78,1,15.584
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"012746",Asian,4.000,136.64,1,28.241
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"012747",Asian,4.000,136.64,1,28.241
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"013616",Asian,5.000,174.75,1,25.762
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"013824",Asian,1.000,34.98,1,7.880
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"014478",Specialty American,2.000,68.32,1,15.020
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"014542",Asian,12.000,407.40,1,49.829
202249,2022-06-05,South,South Texas,"067",HOUSTON,DAIRY,EGGS,SHELL EGGS,CEP,"014743",Asian,2.000,73.90,1,13.704
