"fisc_wk_id","fisc_wk_strt_dt","fisc_qtr_strt_dt"
199901,1998-06-28,1998-06-28
199902,1998-07-05,1998-06-28
199903,1998-07-12,1998-06-28
199904,1998-07-19,1998-06-28
199905,1998-07-26,1998-06-28
199906,1998-08-02,1998-06-28
199907,1998-08-09,1998-06-28
199908,1998-08-16,1998-06-28
199909,1998-08-23,1998-06-28
199910,1998-08-30,1998-06-28
199911,1998-09-06,1998-06-28
199912,1998-09-13,1998-06-28
199913,1998-09-20,1998-06-28
199914,1998-09-27,1998-09-27
199915,1998-10-04,1998-09-27
199916,1998-10-11,1998-09-27
199917,1998-10-18,1998-09-27
199918,1998-10-25,1998-09-27
199919,1998-11-01,1998-09-27
199920,1998-11-08,1998-09-27
199921,1998-11-15,1998-09-27
199922,1998-11-22,1998-09-27
199923,1998-11-29,1998-09-27
199924,1998-12-06,1998-09-27
199925,1998-12-13,1998-09-27
199926,1998-12-20,1998-09-27
199927,1998-12-27,1998-12-27
199928,1999-01-03,1998-12-27
199929,1999-01-10,1998-12-27
199930,1999-01-17,1998-12-27
199931,1999-01-24,1998-12-27
199932,1999-01-31,1998-12-27
199933,1999-02-07,1998-12-27
199934,1999-02-14,1998-12-27
199935,1999-02-21,1998-12-27
199936,1999-02-28,1998-12-27
199937,1999-03-07,1998-12-27
199938,1999-03-14,1998-12-27
199939,1999-03-21,1998-12-27
199940,1999-03-28,1999-03-28
199941,1999-04-04,1999-03-28
199942,1999-04-11,1999-03-28
199943,1999-04-18,1999-03-28
199944,1999-04-25,1999-03-28
199945,1999-05-02,1999-03-28
199946,1999-05-09,1999-03-28
199947,1999-05-16,1999-03-28
199948,1999-05-23,1999-03-28
199949,1999-05-30,1999-03-28
199950,1999-06-06,1999-03-28
199951,1999-06-13,1999-03-28
199952,1999-06-20,1999-03-28
199953,1999-06-27,1999-03-28
200001,1999-07-04,1999-07-04
200002,1999-07-11,1999-07-04
200003,1999-07-18,1999-07-04
200004,1999-07-25,1999-07-04
200005,1999-08-01,1999-07-04
200006,1999-08-08,1999-07-04
200007,1999-08-15,1999-07-04
200008,1999-08-22,1999-07-04
200009,1999-08-29,1999-07-04
200010,1999-09-05,1999-07-04
200011,1999-09-12,1999-07-04
200012,1999-09-19,1999-07-04
200013,1999-09-26,1999-07-04
200014,1999-10-03,1999-10-03
200015,1999-10-10,1999-10-03
200016,1999-10-17,1999-10-03
200017,1999-10-24,1999-10-03
200018,1999-10-31,1999-10-03
200019,1999-11-07,1999-10-03
200020,1999-11-14,1999-10-03
200021,1999-11-21,1999-10-03
200022,1999-11-28,1999-10-03
200023,1999-12-05,1999-10-03
200024,1999-12-12,1999-10-03
200025,1999-12-19,1999-10-03
200026,1999-12-26,1999-10-03
200027,2000-01-02,2000-01-02
200028,2000-01-09,2000-01-02
200029,2000-01-16,2000-01-02
200030,2000-01-23,2000-01-02
200031,2000-01-30,2000-01-02
200032,2000-02-06,2000-01-02
200033,2000-02-13,2000-01-02
200034,2000-02-20,2000-01-02
200035,2000-02-27,2000-01-02
200036,2000-03-05,2000-01-02
200037,2000-03-12,2000-01-02
200038,2000-03-19,2000-01-02
200039,2000-03-26,2000-01-02
200040,2000-04-02,2000-04-02
200041,2000-04-09,2000-04-02
200042,2000-04-16,2000-04-02
200043,2000-04-23,2000-04-02
200044,2000-04-30,2000-04-02
200045,2000-05-07,2000-04-02
200046,2000-05-14,2000-04-02
200047,2000-05-21,2000-04-02
200048,2000-05-28,2000-04-02
200049,2000-06-04,2000-04-02
200050,2000-06-11,2000-04-02
200051,2000-06-18,2000-04-02
200052,2000-06-25,2000-04-02
200101,2000-07-02,2000-07-02
200102,2000-07-09,2000-07-02
200103,2000-07-16,2000-07-02
200104,2000-07-23,2000-07-02
200105,2000-07-30,2000-07-02
200106,2000-08-06,2000-07-02
200107,2000-08-13,2000-07-02
200108,2000-08-20,2000-07-02
200109,2000-08-27,2000-07-02
200110,2000-09-03,2000-07-02
200111,2000-09-10,2000-07-02
200112,2000-09-17,2000-07-02
200113,2000-09-24,2000-07-02
200114,2000-10-01,2000-10-01
200115,2000-10-08,2000-10-01
200116,2000-10-15,2000-10-01
200117,2000-10-22,2000-10-01
200118,2000-10-29,2000-10-01
200119,2000-11-05,2000-10-01
200120,2000-11-12,2000-10-01
200121,2000-11-19,2000-10-01
200122,2000-11-26,2000-10-01
200123,2000-12-03,2000-10-01
200124,2000-12-10,2000-10-01
200125,2000-12-17,2000-10-01
200126,2000-12-24,2000-10-01
200127,2000-12-31,2000-12-31
200128,2001-01-07,2000-12-31
200129,2001-01-14,2000-12-31
200130,2001-01-21,2000-12-31
200131,2001-01-28,2000-12-31
200132,2001-02-04,2000-12-31
200133,2001-02-11,2000-12-31
200134,2001-02-18,2000-12-31
200135,2001-02-25,2000-12-31
200136,2001-03-04,2000-12-31
200137,2001-03-11,2000-12-31
200138,2001-03-18,2000-12-31
200139,2001-03-25,2000-12-31
200140,2001-04-01,2001-04-01
200141,2001-04-08,2001-04-01
200142,2001-04-15,2001-04-01
200143,2001-04-22,2001-04-01
200144,2001-04-29,2001-04-01
200145,2001-05-06,2001-04-01
200146,2001-05-13,2001-04-01
200147,2001-05-20,2001-04-01
200148,2001-05-27,2001-04-01
200149,2001-06-03,2001-04-01
200150,2001-06-10,2001-04-01
200151,2001-06-17,2001-04-01
200152,2001-06-24,2001-04-01
200201,2001-07-01,2001-07-01
200202,2001-07-08,2001-07-01
200203,2001-07-15,2001-07-01
200204,2001-07-22,2001-07-01
200205,2001-07-29,2001-07-01
200206,2001-08-05,2001-07-01
200207,2001-08-12,2001-07-01
200208,2001-08-19,2001-07-01
200209,2001-08-26,2001-07-01
200210,2001-09-02,2001-07-01
200211,2001-09-09,2001-07-01
200212,2001-09-16,2001-07-01
200213,2001-09-23,2001-07-01
200214,2001-09-30,2001-09-30
200215,2001-10-07,2001-09-30
200216,2001-10-14,2001-09-30
200217,2001-10-21,2001-09-30
200218,2001-10-28,2001-09-30
200219,2001-11-04,2001-09-30
200220,2001-11-11,2001-09-30
