fisc_wk_id,cust_nbr,Purchases
202249,1628,1
202249,732420,0
202249,925347,0
202249,733840,0
202249,917344,0
202249,20327,1
202249,825786,0
202249,391151,0
202249,955302,0
202249,896928,0
202249,847574,0
202249,822007,0
202249,852426,0
202249,795195,0
202249,862599,0
202249,779124,0
202249,286294,0
202249,835108,0
202249,20191,1
202249,963249,0
202249,149997,0
202249,552968,0
202249,28331,0
202249,566703,0
202249,28203,0
202249,35014,0
202249,606319,0
202249,140699,0
202249,706697,0
202249,27823,0
202249,25818,0
202249,23485,0
202249,692947,0
202249,20462,1
202249,13484,0
202249,706689,0
202249,11396,0
202249,610881,0
202249,28796,0
202249,641894,0
202249,891242,0
202249,542019,0
202249,16266,0
202249,805531,0
202249,406280,0
202249,17284,0
202249,334185,0
202249,19763,0
202249,604488,0
202249,282012,0
202249,19005,1
202249,108514,0
202249,33222,0
202249,21580,0
202249,852707,0
202249,33207,0
202249,23010,0
202249,20669,0
202249,777631,0
202249,19114,1
202249,674218,0
202249,777029,0
202249,895805,0
202249,708867,0
202249,733568,0
202249,943902,0
202249,732792,0
202249,947739,0
202249,14872,0
202249,19595,1
202249,701565,0
202249,969683,0
202249,688952,0
202249,974964,0
202249,745307,0
202249,677096,0
202249,13769,0
202249,707109,0
202249,29007,0
202249,67207,0
202249,491803,0
202249,24178,0
202249,28069,0
202249,20694,0
202249,28237,0
202249,19392,0
202249,28474,0
202249,24413,1
202249,33332,0
202249,945998,0
202249,33518,0
202249,33273,0
202249,28514,0
202249,31066,0
202249,30090,0
202249,33748,0
202249,28503,0
202249,101134,0
202249,31030,0
202249,35525,0
202249,24764,0
202249,25861,0
202249,906826,0
202249,26361,0
202249,804534,0
202249,25190,1
202249,26639,0
202249,642413,0
202249,28009,0
202249,244699,0
202249,31029,0
202249,33368,0
202249,27702,0
202249,33246,0
202249,27739,0
202249,26904,0
202249,24804,1
202249,27643,0
202249,25436,0
202249,31238,0
202249,22920,1
202249,22353,1
202249,536268,0
202249,386938,0
202249,35257,0
202249,450635,0
202249,411892,0
202249,32911,0
202249,286161,0
202249,31649,0
202249,30640,0
202249,429910,0
202249,22022,1
202249,35280,0
202249,30134,0
202249,452425,0
202249,29774,0
202249,426429,0
202249,545939,0
202249,257790,0
202249,625541,0
