fisc_wk_strt_dt,month,year,week_of_month,mkt_lvl,value,total_wgt,total_sales,avg_unit_price,avg_unit_price_adj,log_price,log_units
5/5/2013,5,2013,18,North,236.526,1642565.196,3474335.31,2.115188681,0.894273222,-0.111743933,14.31176972
5/5/2013,5,2013,18,South,236.526,1422200.66,2850561.14,2.004331189,0.847404171,-0.165577519,14.16771599
5/5/2013,5,2013,18,West,236.526,694843.26,1440919.45,2.073733075,0.876746351,-0.131537552,13.45144157
5/12/2013,5,2013,19,North,236.526,1587125.754,3533834.04,2.226562093,0.941360397,-0.060429219,14.27743524
5/12/2013,5,2013,19,South,236.526,1376157.075,2888754.41,2.099145848,0.887490529,-0.11935743,14.13480544
5/12/2013,5,2013,19,West,236.526,702042.076,1697784.51,2.418351503,1.022446371,0.022198159,13.46174862
5/19/2013,5,2013,20,North,236.526,1574523.73,3620625.62,2.299505273,0.972199789,-0.028193951,14.26946339
5/19/2013,5,2013,20,South,236.526,1357878.638,2960602.59,2.180314578,0.921807572,-0.081418784,14.12143421
5/19/2013,5,2013,20,West,236.526,649313.51,1470401.64,2.264548046,0.957420345,-0.043512752,13.38367095
5/26/2013,5,2013,21,North,236.526,1333529.782,3156906.36,2.367330976,1.000875581,0.000875197,14.10333996
5/26/2013,5,2013,21,North,236.792,39534.1,95286.09,2.41022535,1.017866038,0.017708317,10.58491887
5/26/2013,5,2013,21,South,236.526,1173445.88,2616575.85,2.22982235,0.94273879,-0.058966034,13.97545517
5/26/2013,5,2013,21,South,236.792,71074.55,162555.29,2.287109662,0.96587286,-0.034723069,11.17148461
5/26/2013,5,2013,21,West,236.526,533301.644,1249375.8,2.342718823,0.990469895,-0.009575807,13.18684248
5/26/2013,5,2013,21,West,236.792,41357.32,96180.74,2.325603787,0.982129374,-0.018032234,10.63000471
6/2/2013,6,2013,22,North,236.792,1500615.92,3571682.28,2.380144201,1.005162421,0.005149142,14.2213862
6/2/2013,6,2013,22,South,236.792,1281153.77,2890435.77,2.256119318,0.952785279,-0.048365711,14.06327161
6/2/2013,6,2013,22,West,236.792,612593.395,1457856.58,2.379811131,1.005021762,0.005009195,13.32545669
6/9/2013,6,2013,23,North,236.792,1407343.188,3368112.44,2.393241726,1.010693658,0.010636885,14.15721422
6/9/2013,6,2013,23,South,236.792,1267847.32,2867272,2.261527831,0.955069357,-0.045971316,14.052831
6/9/2013,6,2013,23,West,236.792,586609.024,1400394.78,2.387271117,1.008172201,0.008138989,13.28211382
6/16/2013,6,2013,24,North,236.792,1400220.584,3267500.04,2.333560924,0.985489765,-0.014616538,14.15214034
6/16/2013,6,2013,24,South,236.792,1240208.725,2788426.83,2.248352857,0.949505413,-0.051814048,14.03079025
6/16/2013,6,2013,24,West,236.792,571990.99,1368099.23,2.391819546,1.010093055,0.01004246,13.25687852
6/23/2013,6,2013,25,North,236.792,1341796.985,3047752.65,2.271396257,0.959236907,-0.041617199,14.10952031
6/23/2013,6,2013,25,South,236.792,1183686.445,2601128.35,2.197480896,0.928021595,-0.074700276,13.98414423
6/23/2013,6,2013,25,West,236.792,543225.292,1281641.69,2.359318885,0.996367649,-0.003638964,13.20527942
6/30/2013,6,2013,26,North,237.001,1229702.966,2713120.94,2.206322189,0.930933705,-0.071567213,14.02228321
6/30/2013,6,2013,26,South,237.001,1125463.107,2387387.37,2.121248893,0.895037951,-0.110889159,13.93370516
6/30/2013,6,2013,26,West,237.001,515538.435,1193323.76,2.31471347,0.976668229,-0.023608266,13.15296714
7/7/2013,7,2013,27,North,237.001,1352136.71,2960894.4,2.189789226,0.9239578,-0.079088879,14.11719665
7/7/2013,7,2013,27,South,237.001,1190678.325,2503401.25,2.10250006,0.887127084,-0.119767033,13.99003372
7/7/2013,7,2013,27,West,237.001,555462.948,1258114.38,2.264983442,0.955685184,-0.045326726,13.22755719
7/14/2013,7,2013,28,North,237.001,1396017.561,3054202.88,2.187796891,0.923117156,-0.079999123,14.14913414
7/14/2013,7,2013,28,South,237.001,1236000.365,2585178.17,2.091567481,0.882514201,-0.124980399,14.02739121
7/14/2013,7,2013,28,West,237.001,594565.45,1338108.23,2.250565064,0.949601505,-0.05171285,13.29558608
7/21/2013,7,2013,29,North,237.001,1412525.618,3070089.27,2.173475108,0.917074235,-0.086566856,14.16088988
7/21/2013,7,2013,29,South,237.001,1237824.67,2582413.97,2.086251819,0.880271315,-0.127525106,14.0288661
7/21/2013,7,2013,29,West,237.001,581949.08,1291011.33,2.218426619,0.936041037,-0.06609596,13.27413823
7/28/2013,7,2013,30,North,237.001,775397.29,1669648.6,2.153281449,0.90855374,-0.095901241,13.56113081
7/28/2013,7,2013,30,North,237.406,625783.368,1378329.51,2.202566544,0.927763639,-0.074978278,13.34675953
7/28/2013,7,2013,30,South,237.001,638780.775,1324845.77,2.07402261,0.875111333,-0.133404163,13.3673166
7/28/2013,7,2013,30,South,237.406,594985.995,1246364.88,2.094780197,0.882361944,-0.12515294,13.29629315
7/28/2013,7,2013,30,West,237.001,307511.29,670627.67,2.180822922,0.920174566,-0.083191882,12.63626708
7/28/2013,7,2013,30,West,237.406,289958.236,639058.36,2.203966919,0.928353504,-0.074342688,12.57749218
8/4/2013,8,2013,31,North,237.406,1428397.081,3089911.22,2.163201858,0.911182472,-0.093012104,14.17206345
8/4/2013,8,2013,31,South,237.406,1278650.295,2642326.18,2.06649636,0.870448245,-0.138746976,14.06131562
8/4/2013,8,2013,31,West,237.406,599627.27,1322819.48,2.206069581,0.929239185,-0.073389108,13.30406352
8/11/2013,8,2013,32,North,237.406,1448581.803,3133584.12,2.163208259,0.911185168,-0.093009145,14.18609557
8/11/2013,8,2013,32,South,237.406,1271308.51,2641049.8,2.077426352,0.875052169,-0.133471773,14.05555725
8/11/2013,8,2013,32,West,237.406,602025.644,1320496.68,2.193422644,0.923912051,-0.079138395,13.30805532
8/18/2013,8,2013,33,North,237.406,1425244.09,3102059.92,2.176511337,0.916788681,-0.086878279,14.16985365
8/18/2013,8,2013,33,South,237.406,1275911.176,2642143.5,2.070789526,0.87225661,-0.136671621,14.05917113
8/18/2013,8,2013,33,West,237.406,601917.274,1314002.7,2.183028726,0.919533932,-0.083888333,13.3078753
8/25/2013,8,2013,34,North,237.406,1363361.011,3025225.96,2.218947099,0.934663445,-0.067568766,14.12546354
8/25/2013,8,2013,34,South,237.406,1227789.295,2534034.45,2.063900101,0.86935465,-0.140004124,14.02072579
8/25/2013,8,2013,34,West,237.406,561333.107,1238428.57,2.206227558,0.929305729,-0.0733175,13.23806978
9/1/2013,9,2013,35,North,237.522,1243445.565,2650524.75,2.131596931,0.897431367,-0.108218633,14.03339677
9/1/2013,9,2013,35,South,237.522,1122940.855,2298583.58,2.046932009,0.86178628,-0.148747974,13.93146157
9/1/2013,9,2013,35,West,237.522,533558.916,1195342.35,2.240319324,0.943204976,-0.058471654,13.18732478
9/8/2013,9,2013,36,North,237.522,1242566.612,2561659.22,2.061587037,0.867956247,-0.141613972,14.03268965
9/8/2013,9,2013,36,South,237.522,1135802.415,2264092.71,1.993386068,0.839242709,-0.17525533,13.94284993
9/8/2013,9,2013,36,West,237.522,524279.245,1125204.66,2.146193409,0.903576683,-0.101394299,13.16977973
9/15/2013,9,2013,37,North,237.522,1260669.359,2512408.57,1.992916344,0.839044949,-0.175490999,14.04715338
9/15/2013,9,2013,37,South,237.522,1158324.509,2228980.88,1.9243147,0.810162722,-0.21052016,13.96248513
9/15/2013,9,2013,37,West,237.522,550549.782,1129027.5,2.050727358,0.863384174,-0.146895526,13.21867266
9/22/2013,9,2013,38,North,237.522,1251843.875,2456761.26,1.962514103,0.826245191,-0.190863708,14.04012812
9/22/2013,9,2013,38,South,237.522,1157567.754,2197765.48,1.898606343,0.799339153,-0.223969952,13.9618316
9/22/2013,9,2013,38,West,237.522,552254.926,1126618.77,2.040033899,0.858882082,-0.15212364,13.22176504
9/29/2013,9,2013,39,North,237.522,204270.52,396920.16,1.943110342,0.818075943,-0.200800106,12.22720047
9/29/2013,9,2013,39,North,237.871,1052193.43,2046613.32,1.945092282,0.817708877,-0.201248902,13.86638752
9/29/2013,9,2013,39,South,237.522,236755.31,442578.34,1.869349161,0.78702148,-0.239499737,12.37478244
9/29/2013,9,2013,39,South,237.871,949142.615,1774114.55,1.869175951,0.78579396,-0.241060658,13.76331435
9/29/2013,9,2013,39,West,237.522,84610.45,166264.72,1.96506129,0.827317592,-0.189566629,11.34581306
9/29/2013,9,2013,39,West,237.871,438169.114,887892.72,2.026369937,0.851877672,-0.16031234,12.99036022
10/6/2013,10,2013,40,North,237.871,1230630.825,2620708.53,2.12956516,0.895260524,-0.110640515,14.02303746
10/6/2013,10,2013,40,South,237.871,1175538.102,2148222.26,1.827437372,0.768247232,-0.263643682,13.97723656
10/6/2013,10,2013,40,West,237.871,503036.249,1005089.41,1.998045692,0.839970274,-0.174388775,13.12841751
10/13/2013,10,2013,41,North,237.871,1273689.658,2303112.61,1.808221175,0.760168821,-0.274214738,14.05742849
10/13/2013,10,2013,41,South,237.871,1193002.511,2148337.5,1.800782044,0.75704144,-0.278337285,13.99198381
10/13/2013,10,2013,41,West,237.871,511716.261,993163.61,1.940848251,0.815924703,-0.203433204,13.14552557
10/20/2013,10,2013,42,North,237.871,1269756.934,2262725.12,1.782014384,0.749151592,-0.288813923,14.05433605
10/20/2013,10,2013,42,South,237.871,1173582.855,2053180.06,1.74949732,0.735481551,-0.307229823,13.9755719
10/20/2013,10,2013,42,West,237.871,524571.567,992584.19,1.892180691,0.795465059,-0.228828355,13.17033715
10/27/2013,10,2013,43,North,237.641,304487.53,555329.45,1.823816726,0.767467199,-0.264659538,12.62638541
10/27/2013,10,2013,43,North,237.871,934779.607,1624088.29,1.737402354,0.730396877,-0.314167226,13.74806607
10/27/2013,10,2013,43,South,237.641,326561.397,569592.87,1.744213723,0.733970032,-0.30928708,12.69637326
10/27/2013,10,2013,43,South,237.871,820608.56,1408132.23,1.715960933,0.72138299,-0.32658509,13.61780149
10/27/2013,10,2013,43,West,237.641,155355.42,290685.9,1.871102405,0.787365145,-0.239063167,11.9534708
10/27/2013,10,2013,43,West,237.871,372505.37,679832.88,1.825028402,0.76723451,-0.264962774,12.82800673
11/3/2013,11,2013,44,North,237.641,1227519.07,2140270.09,1.7435738,0.73370075,-0.30965403,14.02050567
11/3/2013,11,2013,44,South,237.641,1180062.305,2027006.88,1.717711744,0.722817925,-0.324597922,13.9810778
11/3/2013,11,2013,44,West,237.641,505636.34,935249.06,1.849647634,0.778336917,-0.250595793,13.13357299
11/10/2013,11,2013,45,North,237.641,1207191.369,2105204.69,1.743886466,0.733832321,-0.309474722,14.00380704
11/10/2013,11,2013,45,South,237.641,1190964.645,2020748.99,1.696732979,0.713990001,-0.336886321,13.99027416
11/10/2013,11,2013,45,West,237.641,520202.007,946933.32,1.820318467,0.765995122,-0.266579478,13.16197249
11/17/2013,11,2013,46,North,237.641,1208454.085,2067244.42,1.710652019,0.719847172,-0.32871635,14.00485249
11/17/2013,11,2013,46,South,237.641,1161840.807,1928990.53,1.660288155,0.698653917,-0.358599771,13.96551621
11/17/2013,11,2013,46,West,237.641,514996.39,924859.26,1.795855812,0.755701168,-0.280109262,13.15191517
11/24/2013,11,2013,47,North,237.641,1008887.919,1711053.17,1.695979442,0.713672911,-0.33733053,13.82435921
11/24/2013,11,2013,47,South,237.641,933608.318,1520210.07,1.628316758,0.685200264,-0.378044128,13.74681227
11/24/2013,11,2013,47,West,237.641,415061.42,739792.3,1.782368258,0.750025567,-0.287647984,12.93618179
12/1/2013,12,2013,48,North,237.869,1240267.615,2134946.91,1.721359878,0.723658769,-0.323435311,14.03083773
12/1/2013,12,2013,48,South,237.869,1173003.625,1938509.08,1.652602804,0.694753332,-0.364198414,13.97507822
12/1/2013,12,2013,48,West,237.869,512725.246,914877.4,1.784342408,0.750136591,-0.287499968,13.1474954
12/8/2013,12,2013,49,North,237.869,1263320.514,2175981.31,1.722430124,0.7241087,-0.322813759,14.04925414
